dhatu_hk	gana	pada	meaning_en	number	dhatu_slp1	dhatu_with_anubandha
aMsa	10	ubhayapada	samAghAte	0460	aMsa	aMsa
aMh	10	ubhayapada	bhASArthaH ca	0328	aMh	ahi!
aMh	1	atmanepada	gatau	0722	aMh	ahi!
ak	1	parasmaipada	kuTilAyAM gatau	0901	ak	aka!
akS	1	parasmaipada	vyAptau	0742	akz	akzU!
ag	1	parasmaipada	kuTilAyAM gatau	0902	ag	aga!
aGka	10	ubhayapada	pade lakSaNe ca	0473	aNka	aNka
aGk	1	atmanepada	lakSaNe	0092	aNk	aki!
aGga	10	ubhayapada	pade lakSaNe ca	0474	aNga	aNga
aGg	1	parasmaipada	gatyarthaH	0155	aNg	agi!
aGgh	1	atmanepada	gatyAkSepe gatau gatyArambhe cetyapare	0115	aNG	aGi!
ac	1	ubhayapada	gatau yAcane ca ityeke	0999	ac	acu!
aj	1	parasmaipada	gatikSapanayoH	0262	aj	aja!
aJc	1	ubhayapada	gatau yAcane ca ityepare	1000	aYc	aci!
aJc	1	parasmaipada	gatipUjanayoH	0998	aYc	aYcu!
aJc	10	ubhayapada	vizeSaNe	0266	aYc	aYcu!
aJj	10	ubhayapada	bhASArthaH ca	0316	aYj	aji!
aJj	7	parasmaipada	vyaktimrakSaNakAntigatiSu vyaktimarSaNakAntigatiSu	0021	aYj	aYjU!
aT	1	parasmaipada	gatau	0332	aw	awa!
aTT	10	ubhayapada	anAdare	0037	aww	awwa!
aTT	1	atmanepada	atikramaNahiMsanayoH atikramahiMsayoH	0287	aww	awwa!
aD	1	parasmaipada	udyame	0414	aq	aqa!
aDD	1	parasmaipada	abhiyoge	0403	aqq	aqqa!
aN	1	parasmaipada	zabdArthaH	0512	aR	aRa!
aN	4	atmanepada	prANane	0071	aR	aRa!
aNTh	1	atmanepada	gatau	0294	aRW	aWi!
at	1	parasmaipada	sAtatyagamane	0038	at	ata!
ad	2	parasmaipada	bhakSaNe	0001	ad	ada!
adD	1	parasmaipada	abhiyoge	0403	adq	adqa!
i	2	atmanepada	adhyayane nityamadhipUrvaH	0041	i	iN
